Qty,Value,Device,Package,Parts,Description,PROD_ID,VALUE
2,,C-USC0603K,C0603K,"C1, C2","CAPACITOR, American symbol",,
1,,CRYSTALHC49US,HC49US,Y1,Various standard crystals. Proven footprints.,,
3,,DIODE-DO214AC,DO214AC,"D3, D5, D6",DIODE,,
2,,PINHD-1X8BIG,1X08-BIG,"JP2, JP3",PIN HEADER,,
2,,POLYFUSE,1206,"F1, F2",Resistor,,
2,0.1uf,C-USC0603,C0603,"C5, C6","CAPACITOR, American symbol",,
2,100K,R-US_R0603,R0603,"R16, R17","RESISTOR, American symbol",,
10,10k,R-US_R0603,R0603,"R1, R2, R3, R5, R7, R9, R11, R12, R15, R18","RESISTOR, American symbol",,
2,10uf,C-USC0603,C0603,"C7, C8","CAPACITOR, American symbol",,
3,1N4728,1N4728,DO41Z10,"D1, D2, D4",Z DIODE,,
2,22pf,C-USC0603,C0603,"C3, C4","CAPACITOR, American symbol",,
3,250,R-US_R0603,R0603,"R8, R10, R14","RESISTOR, American symbol",,
3,4k7,R-US_R0603,R0603,"R4, R6, R13","RESISTOR, American symbol",,
1,ATMEGA328P_TQFP,ATMEGA328P_TQFP,TQFP32-08,U1,,IC-09069,ATMEGA328P_TQFP
1,AVRISP-BOX,AVRISP-BOX,AVRISP-BOX,ISP1,AVR ISP HEADER,,
1,EG4621CT-ND,EG4621CT-ND,EG4621CT-ND,U$3,surface mount push putton digikey number EG4621CT-ND,,
1,FANS 1,ETHERNET,A122645-ND,ETH2,Ethernet port with 2 leds. digikey number A122645-ND,,
1,FANS 2,ETHERNET,A122645-ND,ETH1,Ethernet port with 2 leds. digikey number A122645-ND,,
3,IRF520,IRF520,TO220BV,"Q1, Q3, Q4",HEXFET Power MOSFET,,
4,STAND-OFF,STAND-OFF,STAND-OFF,"STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4",#4 Stand Off,,
