Qty,Value,Device,Package,Parts,Description
1,,C-USC0603,C0603,C1,"CAPACITOR, American symbol"
3,,LEDCHIPLED_0603,CHIPLED_0603,"LED1, LED2, LED3",LED
2,,PINHD-1X6,1X06,"JP1, JP2",PIN HEADER
3,,POLYFUSE,1206,"F1, F2, F3",Resistor
4,10k,R-US_R0603,R0603,"R4, R8, R9, R10","RESISTOR, American symbol"
3,1k,R-US_R0603,R0603,"R5, R6, R7","RESISTOR, American symbol"
1,4081D,4081D,SO14,IC1,Quad 2-input AND
1,D1,1N4004,DO41-10,D1,DIODE
1,D2,1N4004,DO41-10,D2,DIODE
1,D3,1N4004,DO41-10,D3,DIODE
1,MOSFET1,MOSFET,MOSFET,U1,
1,MOSFET2,MOSFET,MOSFET,U2,
1,MOSFET3,MOSFET,MOSFET,U3,
1,R1,R-US_R0603,R0603,R1,"RESISTOR, American symbol"
1,R2,R-US_R0603,R0603,R2,"RESISTOR, American symbol"
1,R3,R-US_R0603,R0603,R3,"RESISTOR, American symbol"
