Part,Value,Device,Package,Description,CAPACITANCE,PROD_ID,VALUE
C1,10 uF,CAP0805,805,Capacitor,10 uF,,
C5,1 uF,CAP0805,805,Capacitor,,,
C6,1 uF,CAP0805,805,Capacitor,,,
D1,1N5408,DIODE1N4148,DIODE-1N4148,Diode,,DIO-08378,1N4148
D2,1N5408,DIODE1N4148,DIODE-1N4148,Diode,,DIO-08378,1N4148
D3,,LED3MM,LED3MM,LEDs,,DIO-08794,
J1,,M023.5MM,SCREWTERMINAL-3.5MM-2,"Standard 2-pin 0.1 header. Use with""",,CONN-08399,
J2,,M02LOCK,1X02_LOCK,"Standard 2-pin 0.1 header. Use with""",,,
J3,,M023.5MM,SCREWTERMINAL-3.5MM-2,"Standard 2-pin 0.1 header. Use with""",,CONN-08399,
J4,,M023.5MM,SCREWTERMINAL-3.5MM-2,"Standard 2-pin 0.1 header. Use with""",,CONN-08399,
R1,10 KOhm,RESISTORPTH-1/6W,1/6W-RES,Resistor,,,
R2,10 K,RESISTORPTH-1/6W,1/6W-RES,Resistor,,,
R3,180,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,,
R4,680,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,,
S1,,SWITCH-MOMENTARY-2PTH,TACTILE-PTH,"Various NO switches- pushbuttons, reed, etc",, SWCH-08441,
U$1,BD62222HFP,BD62222HFP,BD62222HFP,,,,
U$3,ARDUINO_MINI,ARDUINO_MINI,ARDUINO_MINI,Arduino Pro Mini footprint,,,
U$8,1:00 AM,5MM_PC_FUSE_HOLDER_KEYSTONE_ELEC,5MM_PC_FUSE_HOLDER_KEYSTONE_ELEC,,,,
